epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.6636651754379272,0.09978782385587692,0.6324938535690308,1e-04,0.16958299279212952,0.6378297209739685,0.13076432049274445,0.0762518122792244,0.702627956867218,0.08740969002246857,0.9396058320999146
1,0.8536028265953064,0.10758133977651596,0.49962925910949707,1e-04,0.29898175597190857,0.3846246004104614,0.8441287279129028,0.073835089802742,0.6519148945808411,0.0015034953830763698,0.0011734508443623781
2,0.8952825665473938,0.11928364634513855,0.44931745529174805,1e-04,0.44741344451904297,0.35932639241218567,0.8963173031806946,0.0748501569032669,0.5603818297386169,0.005702011752873659,0.0010535361943766475
3,0.9100301861763,0.12883789837360382,0.4173164963722229,1e-04,0.5503436923027039,0.3777221143245697,0.9068158268928528,0.08067135512828827,0.4731278717517853,0.027783742174506187,0.001847257255576551
4,0.919322669506073,0.13898712396621704,0.3934919834136963,1e-04,0.6258317232131958,0.4141131341457367,0.9008301496505737,0.08309920132160187,0.440329909324646,0.04942503944039345,0.007203446701169014
5,0.9274783134460449,0.15039445459842682,0.37176817655563354,1e-04,0.6959292888641357,0.4481700360774994,0.8880720138549805,0.08583255112171173,0.4263279139995575,0.12277700752019882,0.04488235339522362
6,0.9322934746742249,0.1595178246498108,0.3554028570652008,1e-04,0.7358956336975098,0.4726855158805847,0.877977728843689,0.08833914995193481,0.4251249432563782,0.1431635618209839,0.0781329870223999
7,0.9356624484062195,0.1667736917734146,0.3409353196620941,1e-04,0.765896737575531,0.4868655502796173,0.8512238264083862,0.11073005944490433,0.47364524006843567,0.2445063591003418,0.3297225832939148
8,0.9397667646408081,0.17578209936618805,0.3264691233634949,1e-04,0.7994155287742615,0.5091865062713623,0.8423749804496765,0.14070984721183777,0.5239885449409485,0.29673245549201965,0.5702057480812073
9,0.9428611397743225,0.18483427166938782,0.3140939474105835,1e-04,0.8190768957138062,0.5319944024085999,0.8941730260848999,0.15178674459457397,0.4152309000492096,0.4230082929134369,0.5285354256629944
10,0.9450446367263794,0.1919182389974594,0.30293431878089905,1e-04,0.8341773748397827,0.545664370059967,0.9298125505447388,0.15111181139945984,0.3305613100528717,0.6692830324172974,0.41240373253822327
11,0.9477697014808655,0.2009270340204239,0.29166656732559204,1e-04,0.8452329635620117,0.5703187584877014,0.930180549621582,0.16972854733467102,0.3313552141189575,0.630977988243103,0.5213091373443604
12,0.9513006806373596,0.2120019495487213,0.279403418302536,1e-04,0.8597697019577026,0.6018766164779663,0.9245287775993347,0.17421531677246094,0.33784234523773193,0.5824026465415955,0.5403298735618591
13,0.9536505341529846,0.22176478803157806,0.2685193419456482,1e-04,0.8666790723800659,0.6244698166847229,0.8988012075424194,0.1790698617696762,0.4146738350391388,0.45055311918258667,0.6204928755760193
14,0.953984797000885,0.2274480015039444,0.26085641980171204,1e-04,0.8676601648330688,0.628107488155365,0.9330359101295471,0.16509166359901428,0.2963350713253021,0.6965210437774658,0.4355729818344116
15,0.9555040001869202,0.23397377133369446,0.2524546980857849,1e-04,0.8747861385345459,0.6398892998695374,0.928505539894104,0.18438225984573364,0.29910579323768616,0.6135451793670654,0.5362356305122375
16,0.9588475823402405,0.2473386973142624,0.24116767942905426,1e-04,0.8833970427513123,0.6732422113418579,0.9226089119911194,0.18903349339962006,0.311219185590744,0.5676533579826355,0.5533149242401123
17,0.9618126749992371,0.25960081815719604,0.23085682094097137,1e-04,0.8946205973625183,0.698510468006134,0.9304009079933167,0.1914651095867157,0.2903449237346649,0.6271515488624573,0.5406410694122314
18,0.963684618473053,0.2691807448863983,0.22240547835826874,1e-04,0.8975374698638916,0.7176345586776733,0.9062910079956055,0.17942070960998535,0.3541746735572815,0.47475215792655945,0.5159814953804016
19,0.9645459651947021,0.2769049406051636,0.21511614322662354,1e-04,0.9011061787605286,0.7242175936698914,0.9254518151283264,0.1741720587015152,0.28934499621391296,0.614089846611023,0.4270676076412201
